10001,value10001,value10002,value10003,value10004,value10005,value10006,value10007,value10008,value10009
10000,value10001,value10002,value10003,value10004,value10005,value10006,value10007,value10008,value10009
10010,value10011,value10012,value10013,value10014,value10015,value10016,value10017,value10018,value10019
10020,value10021,value10022,value10023,value10024,value10025,value10026,value10027,value10028,value10029
10030,value10031,value10032,value10033,value10034,value10035,value10036,value10037,value10038,value10039
10040,value10041,value10042,value10043,value10044,value10045,value10046,value10047,value10048,value10049
10050,value10051,value10052,value10053,value10054,value10055,value10056,value10057,value10058,value10059
10060,value10061,value10062,value10063,value10064,value10065,value10066,value10067,value10068,value10069
10070,value10071,value10072,value10073,value10074,value10075,value10076,value10077,value10078,value10079
10080,value10081,value10082,value10083,value10084,value10085,value10086,value10087,value10088,value10089
10090,value10091,value10092,value10093,value10094,value10095,value10096,value10097,value10098,value10099
10100,value10101,value10102,value10103,value10104,value10105,value10106,value10107,value10108,value10109
10110,value10111,value10112,value10113,value10114,value10115,value10116,value10117,value10118,value10119
10120,value10121,value10122,value10123,value10124,value10125,value10126,value10127,value10128,value10129
10130,value10131,value10132,value10133,value10134,value10135,value10136,value10137,value10138,value10139
10140,value10141,value10142,value10143,value10144,value10145,value10146,value10147,value10148,value10149
10150,value10151,value10152,value10153,value10154,value10155,value10156,value10157,value10158,value10159
10160,value10161,value10162,value10163,value10164,value10165,value10166,value10167,value10168,value10169
10170,value10171,value10172,value10173,value10174,value10175,value10176,value10177,value10178,value10179
10180,value10181,value10182,value10183,value10184,value10185,value10186,value10187,value10188,value10189
10190,value10191,value10192,value10193,value10194,value10195,value10196,value10197,value10198,value10199
10200,value10201,value10202,value10203,value10204,value10205,value10206,value10207,value10208,value10209
10210,value10211,value10212,value10213,value10214,value10215,value10216,value10217,value10218,value10219
10220,value10221,value10222,value10223,value10224,value10225,value10226,value10227,value10228,value10229
10230,value10231,value10232,value10233,value10234,value10235,value10236,value10237,value10238,value10239
10240,value10241,value10242,value10243,value10244,value10245,value10246,value10247,value10248,value10249
10250,value10251,value10252,value10253,value10254,value10255,value10256,value10257,value10258,value10259
10260,value10261,value10262,value10263,value10264,value10265,value10266,value10267,value10268,value10269
10270,value10271,value10272,value10273,value10274,value10275,value10276,value10277,value10278,value10279
10280,value10281,value10282,value10283,value10284,value10285,value10286,value10287,value10288,value10289
10290,value10291,value10292,value10293,value10294,value10295,value10296,value10297,value10298,value10299
10300,value10301,value10302,value10303,value10304,value10305,value10306,value10307,value10308,value10309
10310,value10311,value10312,value10313,value10314,value10315,value10316,value10317,value10318,value10319
10320,value10321,value10322,value10323,value10324,value10325,value10326,value10327,value10328,value10329
10330,value10331,value10332,value10333,value10334,value10335,value10336,value10337,value10338,value10339
10340,value10341,value10342,value10343,value10344,value10345,value10346,value10347,value10348,value10349
10350,value10351,value10352,value10353,value10354,value10355,value10356,value10357,value10358,value10359
10360,value10361,value10362,value10363,value10364,value10365,value10366,value10367,value10368,value10369
10370,value10371,value10372,value10373,value10374,value10375,value10376,value10377,value10378,value10379
10380,value10381,value10382,value10383,value10384,value10385,value10386,value10387,value10388,value10389
10390,value10391,value10392,value10393,value10394,value10395,value10396,value10397,value10398,value10399
10400,value10401,value10402,value10403,value10404,value10405,value10406,value10407,value10408,value10409
10410,value10411,value10412,value10413,value10414,value10415,value10416,value10417,value10418,value10419
10420,value10421,value10422,value10423,value10424,value10425,value10426,value10427,value10428,value10429
10430,value10431,value10432,value10433,value10434,value10435,value10436,value10437,value10438,value10439
10440,value10441,value10442,value10443,value10444,value10445,value10446,value10447,value10448,value10449
10450,value10451,value10452,value10453,value10454,value10455,value10456,value10457,value10458,value10459
10460,value10461,value10462,value10463,value10464,value10465,value10466,value10467,value10468,value10469
10470,value10471,value10472,value10473,value10474,value10475,value10476,value10477,value10478,value10479
10480,value10481,value10482,value10483,value10484,value10485,value10486,value10487,value10488,value10489
10490,value10491,value10492,value10493,value10494,value10495,value10496,value10497,value10498,value10499
10500,value10501,value10502,value10503,value10504,value10505,value10506,value10507,value10508,value10509
10510,value10511,value10512,value10513,value10514,value10515,value10516,value10517,value10518,value10519
10520,value10521,value10522,value10523,value10524,value10525,value10526,value10527,value10528,value10529
10530,value10531,value10532,value10533,value10534,value10535,value10536,value10537,value10538,value10539
10540,value10541,value10542,value10543,value10544,value10545,value10546,value10547,value10548,value10549
10550,value10551,value10552,value10553,value10554,value10555,value10556,value10557,value10558,value10559
10560,value10561,value10562,value10563,value10564,value10565,value10566,value10567,value10568,value10569
10570,value10571,value10572,value10573,value10574,value10575,value10576,value10577,value10578,value10579
10580,value10581,value10582,value10583,value10584,value10585,value10586,value10587,value10588,value10589
10590,value10591,value10592,value10593,value10594,value10595,value10596,value10597,value10598,value10599
10600,value10601,value10602,value10603,value10604,value10605,value10606,value10607,value10608,value10609
10610,value10611,value10612,value10613,value10614,value10615,value10616,value10617,value10618,value10619
10620,value10621,value10622,value10623,value10624,value10625,value10626,value10627,value10628,value10629
10630,value10631,value10632,value10633,value10634,value10635,value10636,value10637,value10638,value10639
10640,value10641,value10642,value10643,value10644,value10645,value10646,value10647,value10648,value10649
10650,value10651,value10652,value10653,value10654,value10655,value10656,value10657,value10658,value10659
10660,value10661,value10662,value10663,value10664,value10665,value10666,value10667,value10668,value10669
10670,value10671,value10672,value10673,value10674,value10675,value10676,value10677,value10678,value10679
10680,value10681,value10682,value10683,value10684,value10685,value10686,value10687,value10688,value10689
10690,value10691,value10692,value10693,value10694,value10695,value10696,value10697,value10698,value10699
10700,value10701,value10702,value10703,value10704,value10705,value10706,value10707,value10708,value10709
10710,value10711,value10712,value10713,value10714,value10715,value10716,value10717,value10718,value10719
10720,value10721,value10722,value10723,value10724,value10725,value10726,value10727,value10728,value10729
10730,value10731,value10732,value10733,value10734,value10735,value10736,value10737,value10738,value10739
10740,value10741,value10742,value10743,value10744,value10745,value10746,value10747,value10748,value10749
10750,value10751,value10752,value10753,value10754,value10755,value10756,value10757,value10758,value10759
10760,value10761,value10762,value10763,value10764,value10765,value10766,value10767,value10768,value10769
10770,value10771,value10772,value10773,value10774,value10775,value10776,value10777,value10778,value10779
10780,value10781,value10782,value10783,value10784,value10785,value10786,value10787,value10788,value10789
10790,value10791,value10792,value10793,value10794,value10795,value10796,value10797,value10798,value10799
10800,value10801,value10802,value10803,value10804,value10805,value10806,value10807,value10808,value10809
10810,value10811,value10812,value10813,value10814,value10815,value10816,value10817,value10818,value10819
10820,value10821,value10822,value10823,value10824,value10825,value10826,value10827,value10828,value10829
10830,value10831,value10832,value10833,value10834,value10835,value10836,value10837,value10838,value10839
10840,value10841,value10842,value10843,value10844,value10845,value10846,value10847,value10848,value10849
10850,value10851,value10852,value10853,value10854,value10855,value10856,value10857,value10858,value10859
10860,value10861,value10862,value10863,value10864,value10865,value10866,value10867,value10868,value10869
10870,value10871,value10872,value10873,value10874,value10875,value10876,value10877,value10878,value10879
10880,value10881,value10882,value10883,value10884,value10885,value10886,value10887,value10888,value10889
10890,value10891,value10892,value10893,value10894,value10895,value10896,value10897,value10898,value10899
10900,value10901,value10902,value10903,value10904,value10905,value10906,value10907,value10908,value10909
10910,value10911,value10912,value10913,value10914,value10915,value10916,value10917,value10918,value10919
10920,value10921,value10922,value10923,value10924,value10925,value10926,value10927,value10928,value10929
10930,value10931,value10932,value10933,value10934,value10935,value10936,value10937,value10938,value10939
10940,value10941,value10942,value10943,value10944,value10945,value10946,value10947,value10948,value10949
10950,value10951,value10952,value10953,value10954,value10955,value10956,value10957,value10958,value10959
10960,value10961,value10962,value10963,value10964,value10965,value10966,value10967,value10968,value10969
10970,value10971,value10972,value10973,value10974,value10975,value10976,value10977,value10978,value10979
10980,value10981,value10982,value10983,value10984,value10985,value10986,value10987,value10988,value10989
10990,value10991,value10992,value10993,value10994,value10995,value10996,value10997,value10998,value10999
11000,value11001,value11002,value11003,value11004,value11005,value11006,value11007,value11008,value11009
11010,value11011,value11012,value11013,value11014,value11015,value11016,value11017,value11018,value11019
11020,value11021,value11022,value11023,value11024,value11025,value11026,value11027,value11028,value11029
11030,value11031,value11032,value11033,value11034,value11035,value11036,value11037,value11038,value11039
11040,value11041,value11042,value11043,value11044,value11045,value11046,value11047,value11048,value11049
